city_town,county,count,change,change_%,rate_per_10k,date
Barrington,Bristol,0,0,0.0,0.0,03/25/2020
Middletown,Newport,5,0,0.0,3.1055900621118013,03/25/2020
Pawtucket,Providence,5,0,0.0,0.6966699177929497,03/25/2020
Little Compton,Newport,0,0,0.0,0.0,03/25/2020
Lincoln,Providence,0,0,0.0,0.0,03/25/2020
Portsmouth,Newport,0,0,0.0,0.0,03/25/2020
Johnston,Providence,0,0,0.0,0.0,03/25/2020
Providence,Providence,42,0,0.0,2.3397155574372315,03/25/2020
Jamestown,Newport,0,0,0.0,0.0,03/25/2020
Richmond,Washington,0,0,0.0,0.0,03/25/2020
Hopkinton,Washington,0,0,0.0,0.0,03/25/2020
Glocester,Providence,0,0,0.0,0.0,03/25/2020
Smithfield,Providence,0,0,0.0,0.0,03/25/2020
Bristol,Bristol,0,0,0.0,0.0,03/25/2020
Exeter,Washington,0,0,0.0,0.0,03/25/2020
East Providence,Providence,8,0,0.0,1.6868740115972587,03/25/2020
Tiverton,Newport,0,0,0.0,0.0,03/25/2020
Cumberland,Providence,0,0,0.0,0.0,03/25/2020
Newport,Newport,0,0,0.0,0.0,03/25/2020
Woonsocket,Providence,0,0,0.0,0.0,03/25/2020
Scituate,Providence,0,0,0.0,0.0,03/25/2020
Westerly,Washington,0,0,0.0,0.0,03/25/2020
Narragansett,Washington,0,0,0.0,0.0,03/25/2020
New Shoreham,Washington,0,0,0.0,0.0,03/25/2020
North Smithfield,Providence,0,0,0.0,0.0,03/25/2020
West Warwick,Kent,0,0,0.0,0.0,03/25/2020
West Greenwich,Kent,0,0,0.0,0.0,03/25/2020
Central Falls,Providence,0,0,0.0,0.0,03/25/2020
Coventry,Kent,0,0,0.0,0.0,03/25/2020
Warwick,Kent,7,0,0.0,0.8618779088379424,03/25/2020
Cranston,Providence,11,0,0.0,1.3583768631373567,03/25/2020
Warren,Bristol,0,0,0.0,0.0,03/25/2020
Burrillville,Providence,0,0,0.0,0.0,03/25/2020
Foster,Providence,0,0,0.0,0.0,03/25/2020
South Kingstown,Washington,7,0,0.0,2.2792393852565773,03/25/2020
North Kingstown,Washington,0,0,0.0,0.0,03/25/2020
North Providence,Providence,0,0,0.0,0.0,03/25/2020
Woonsocket,Providence,0,0,0.0,0.0,03/26/2020
New Shoreham,Washington,0,0,0.0,0.0,03/26/2020
Hopkinton,Washington,0,0,0.0,0.0,03/26/2020
Scituate,Providence,0,0,0.0,0.0,03/26/2020
Central Falls,Providence,0,0,0.0,0.0,03/26/2020
Pawtucket,Providence,7,2,0.3999999999999999,0.9753378849101296,03/26/2020
West Greenwich,Kent,0,0,0.0,0.0,03/26/2020
Richmond,Washington,0,0,0.0,0.0,03/26/2020
North Providence,Providence,0,0,0.0,0.0,03/26/2020
Jamestown,Newport,0,0,0.0,0.0,03/26/2020
Little Compton,Newport,0,0,0.0,0.0,03/26/2020
Tiverton,Newport,0,0,0.0,0.0,03/26/2020
Burrillville,Providence,0,0,0.0,0.0,03/26/2020
Westerly,Washington,0,0,0.0,0.0,03/26/2020
Providence,Providence,51,9,0.2142857142857142,2.8410831768880667,03/26/2020
West Warwick,Kent,0,0,0.0,0.0,03/26/2020
Johnston,Providence,6,6,0.0,2.057683734010083,03/26/2020
Lincoln,Providence,0,0,0.0,0.0,03/26/2020
Narragansett,Washington,0,0,0.0,0.0,03/26/2020
Portsmouth,Newport,0,0,0.0,0.0,03/26/2020
Glocester,Providence,0,0,0.0,0.0,03/26/2020
Middletown,Newport,6,1,0.19999999999999996,3.7267080745341614,03/26/2020
Coventry,Kent,0,0,0.0,0.0,03/26/2020
Cumberland,Providence,5,5,0.0,1.4493593831526466,03/26/2020
Barrington,Bristol,0,0,0.0,0.0,03/26/2020
Smithfield,Providence,0,0,0.0,0.0,03/26/2020
Foster,Providence,0,0,0.0,0.0,03/26/2020
Warwick,Kent,8,1,0.1428571428571428,0.9850033243862198,03/26/2020
Cranston,Providence,18,7,0.6363636363636365,2.2227985033156745,03/26/2020
East Providence,Providence,9,1,0.125,1.8977332630469161,03/26/2020
North Smithfield,Providence,0,0,0.0,0.0,03/26/2020
Bristol,Bristol,0,0,0.0,0.0,03/26/2020
Newport,Newport,5,5,0.0,2.0206102242877346,03/26/2020
Warren,Bristol,0,0,0.0,0.0,03/26/2020
Exeter,Washington,0,0,0.0,0.0,03/26/2020
North Kingstown,Washington,0,0,0.0,0.0,03/26/2020
South Kingstown,Washington,7,0,0.0,2.2792393852565773,03/26/2020
Exeter,Washington,0,0,0.0,0.0,03/27/2020
Warwick,Kent,11,3,0.375,1.354379571031052,03/27/2020
Cumberland,Providence,7,2,0.3999999999999999,2.0291031364137053,03/27/2020
East Providence,Providence,9,0,0.0,1.8977332630469161,03/27/2020
Johnston,Providence,5,-1,-0.16666666666666663,1.7147364450084024,03/27/2020
East Greenwich,Kent,0,0,0.0,0.0,03/27/2020
New Shoreham,Washington,0,0,0.0,0.0,03/27/2020
North Providence,Providence,0,0,0.0,0.0,03/27/2020
West Warwick,Kent,0,0,0.0,0.0,03/27/2020
South Kingstown,Washington,8,1,0.1428571428571428,2.6048450117218027,03/27/2020
Jamestown,Newport,0,0,0.0,0.0,03/27/2020
West Greenwich,Kent,0,0,0.0,0.0,03/27/2020
Hopkinton,Washington,0,0,0.0,0.0,03/27/2020
Richmond,Washington,0,0,0.0,0.0,03/27/2020
Warren,Bristol,0,0,0.0,0.0,03/27/2020
Central Falls,Providence,0,0,0.0,0.0,03/27/2020
Bristol,Bristol,0,0,0.0,0.0,03/27/2020
Cranston,Providence,21,3,0.16666666666666674,2.593264920534953,03/27/2020
Glocester,Providence,0,0,0.0,0.0,03/27/2020
Smithfield,Providence,0,0,0.0,0.0,03/27/2020
Coventry,Kent,5,5,0.0,1.4337739798698133,03/27/2020
Providence,Providence,57,6,0.11764705882352944,3.1753282565219574,03/27/2020
Narragansett,Washington,0,0,0.0,0.0,03/27/2020
Burrillville,Providence,0,0,0.0,0.0,03/27/2020
Tiverton,Newport,0,0,0.0,0.0,03/27/2020
Pawtucket,Providence,9,2,0.2857142857142858,1.2540058520273096,03/27/2020
Scituate,Providence,0,0,0.0,0.0,03/27/2020
Barrington,Bristol,5,5,0.0,3.0829942039708964,03/27/2020
Woonsocket,Providence,0,0,0.0,0.0,03/27/2020
Little Compton,Newport,0,0,0.0,0.0,03/27/2020
Middletown,Newport,6,0,0.0,3.7267080745341614,03/27/2020
Newport,Newport,5,0,0.0,2.0206102242877346,03/27/2020
North Smithfield,Providence,0,0,0.0,0.0,03/27/2020
Lincoln,Providence,0,0,0.0,0.0,03/27/2020
Westerly,Washington,5,5,0.0,2.209847078582162,03/27/2020
North Kingstown,Washington,8,8,0.0,3.0560012224004893,03/27/2020
